published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2/20/2022,340,343,325,338,-1.46,43187,14614284.2,-1
2/21/2022,340,343,336,338,0,64069,21647206.9,0
2/22/2022,340,343,338,338.1,0.03,46629,15892130.3,1
2/23/2022,340.1,342,337,337,-0.33,44419,15060635.1,-1
2/24/2022,336.5,338,331.1,333,-1.19,48777,16244479.9,-1
2/27/2022,332,336,330,334.4,0.42,28879,9616663.4,1
2/28/2022,340,340,329.6,331,-1.02,78521,26031168.9,-1
3/2/2022,330,332,322.1,326,-1.51,82983,27036949.7,-1
3/6/2022,326,332,325.2,326,0,65869,21540182.2,0
3/7/2022,332,332,323,325.1,-0.28,55568,18174327.9,-1
3/9/2022,330,330.9,324.1,326.8,0.52,60487,19679794,1
3/10/2022,326,329.9,323,328.1,0.4,43848,14368064.9,1
3/13/2022,331,341,330,337.5,2.86,84280,28367968.5,1
3/14/2022,343,343.9,337.6,343,1.63,24357,8311991.9,1
3/15/2022,346,346,338,340.9,-0.61,54912,18681292.4,-1
3/16/2022,340,340,334,336.2,-1.38,61454,20630747.1,-1
3/20/2022,339,340,332,335,-0.36,44513,14901319.3,-1
3/21/2022,335,335.5,329,335,0,46666,15475785.9,0
3/22/2022,340,340,334,338.7,1.1,66187,22252946.8,1
3/23/2022,340,340,335,335.2,-1.03,37830,12718730.2,-1
3/24/2022,334.1,337,332.2,332.2,-0.89,33607,11209563.8,-1
3/27/2022,336,336,327.4,328,-1.26,55695,18381536.1,-1
3/28/2022,328,329,324.1,325,-0.91,68015,22153795.5,-1
3/29/2022,327,327,322,323,-0.62,NA,14309336.7,-1
3/30/2022,323,325,322.2,323.2,0.06,67618,21889265.4,1
3/31/2022,325,332,320,321.2,-0.62,71820,23188190.7,-1
4/3/2022,321.3,325,319.4,323,0.56,25112,8095035.8,1
4/4/2022,323,325,319,321,-0.62,67518,21677253,-1
4/5/2022,325,325,316.5,318.9,-0.65,71156,22695756,-1
4/6/2022,317,324,314,315,-1.22,39275,12474844.8,-1
4/7/2022,320,320,314.6,314.6,-0.13,70891,22489443,-1
4/11/2022,319,325,314,315,0.13,52932,16800396.1,1
4/12/2022,315,317.9,313,315,0,45974,14448190.5,0
4/13/2022,316.1,318,314,317,0.63,31584,9960209.3,1
4/17/2022,317,325,316,316.9,-0.03,37229,11871487.3,-1
4/18/2022,317.5,318,311,315,-0.6,43034,13517246.4,-1
4/19/2022,311,318,311,315,0,26229,8254892.1,0
4/20/2022,315,320,312,313.1,-0.6,23798,7485164.3,-1
4/21/2022,312.5,312.5,306,307,-1.95,63665,19615501.3,-1
4/24/2022,307.5,315,307.5,314,2.28,46301,14460763.5,1
4/25/2022,316,318,312,313,-0.32,23389,7370099.7,-1
4/26/2022,311,316,311,312.4,-0.19,12732,3991938,-1
4/27/2022,308,313,307.5,312.8,0.13,33814,10490147.8,1
4/28/2022,318,318,308,309,-1.21,46461,14399636.1,-1
5/2/2022,310,310,303,304.7,-1.39,39389,11990400.2,-1
5/4/2022,305,305,299.8,303,-0.56,35810,10806733.8,-1
5/5/2022,305,305,300,301,-0.66,24627,7411920.4,-1
5/8/2022,302,302,293,299,-0.66,37306,11053740.9,-1
5/9/2022,302.9,304.5,295,300,0.33,41675,12530825.3,1
5/10/2022,306,309.9,303,309,3,28726,8819554.5,1
5/11/2022,309,316,308,314,1.62,26475,8262278.7,1
5/12/2022,320,320,309,314,0,22214,6966611.4,0
5/17/2022,315,315,305.1,305.8,-2.61,11627,3571975.6,-1
5/18/2022,304,305,300,303.9,-0.62,30317,9165451.3,-1
5/19/2022,303,305,301,302.7,-0.39,26003,7883471.3,-1
5/20/2022,308.2,308.2,301,301.8,-0.3,18625,5615107.6,-1
5/23/2022,301.8,302,296.5,297.5,-1.42,28517,8518101.9,-1
5/24/2022,297,301,295,299,0.5,29803,8905794.7,1
5/25/2022,302,302,297,300,0.33,26954,8093634.3,1
5/26/2022,300.1,305,299,302.5,0.83,36856,11058749.5,1
5/27/2022,303,303.7,298,299,-1.16,28494,8534586.9,-1
5/30/2022,300,300,294.7,295,-1.34,37275,11028685.2,-1
5/31/2022,293,295,290,292.9,-0.71,31160,9120974,-1
6/1/2022,293,301,292,294,0.38,20751,6100000.7,1
6/2/2022,299,299.8,290.1,293,-0.34,24118,7067066.2,-1
6/3/2022,291,292,285,288,-1.71,NA,12818047.4,-1
6/6/2022,290,291.5,286,289.9,0.66,26277,7590033.2,1
6/7/2022,287,290,280,280.5,-3.24,45440,12847836.2,-1
6/8/2022,284,288,274.9,284,1.25,56972,16157120.1,1
6/9/2022,289,292,281.5,287,1.06,30022,8613211.3,1
6/10/2022,282.1,287,282,285.3,-0.59,14141,4036575.7,-1
6/13/2022,284.5,286,270,280,-1.86,331856,90161574,-1
6/14/2022,283,283,277,278.9,-0.39,25837,7195506.4,-1
6/15/2022,278,278.2,265,274.9,-1.43,56408,15262299.1,-1
6/16/2022,270,277.5,270,274.5,-0.15,67005,18387803.8,-1
6/17/2022,276,277.5,274,275,0.18,11559,3188026,1
6/19/2022,280,280,271.5,273,-0.73,20893,5715861.2,-1
6/20/2022,271,272,267,268,-1.83,38144,10266132.9,-1
6/21/2022,268,273,268,271.5,1.31,28375,7672304.1,1
6/22/2022,272,273.9,268.5,268.5,-1.1,22161,5996709.3,-1
6/23/2022,265,267,261.5,265.7,-1.04,17811,4713459.6,-1
6/24/2022,262,274,257,266,0.11,21723,5729034.3,1
6/26/2022,271.3,278,270,278,4.51,31774,8678566,1
6/27/2022,280.5,285,270.1,272,-2.16,37951,10432414.2,-1
6/28/2022,272,272,263.7,272,0,26781,7141976,0
6/29/2022,270,273.9,268,272,0,33195,8990357.4,0
6/30/2022,272,279.4,270,279.4,2.72,59764,16454988.5,1
7/1/2022,282,282,272.1,274,-1.93,30004,8309770.8,-1
7/3/2022,274,278,269.1,273,-0.36,63228,17163379,-1
7/4/2022,278.4,282,270.2,270.2,-1.03,100665,27773554.2,-1
7/5/2022,270,273.3,268,271,0.3,38299,10352927.3,1
7/6/2022,276.4,276.4,265.7,272,0.37,32594,8781971.1,1
7/7/2022,267,277,264.6,267,-1.84,73488,19679072.3,-1
7/8/2022,272.3,272.3,260,260,-2.62,48937,12870751.2,-1
7/11/2022,260.1,260.2,252.9,253,-2.69,55890,14266110.9,-1
7/12/2022,254,260,249,260,2.77,47194,11996186,1
